7 - rf - bear - bear,-2.0321018919207905,-1.726799825139631,-0.6590633164442501,-1.466674273501949
7 - rf - bear - bull,-1.9889272230896853,-1.724568765550592,-0.8897942201635005,-1.4026406730591252
7 - rf - bear - keep,-2.0236025364740535,-1.5579419699241555,-0.816165533872512,-1.450863117353443
7 - rf - bear - strong bear,-2.0189557425039397,-1.7664449934530702,-0.5145433559887276,-1.4569548865606512
7 - rf - bear - strong bull,-1.9939524841747127,-1.870343042624975,-0.5344333344418207,-1.4704643031514866
7 - rf - bull - bear,-1.8793014745958252,-1.8002533291823553,-1.1644606918341356,-1.5048098229437423
7 - rf - bull - bull,-1.8258801197670853,-1.7841556870016198,-1.3432851404822879,-1.4990927148037778
7 - rf - bull - keep,-1.8314063831727065,-1.7621545634832145,-1.3125157145338084,-1.4934463144626555
7 - rf - bull - strong bear,-1.8412682694636429,-1.8050550121466025,-1.0822632794922367,-1.543369900812008
7 - rf - bull - strong bull,-1.8214645877852864,-1.834884311988888,-1.1140824756984076,-1.5309130171892533
7 - rf - keep - bear,-1.665783282933486,-1.5094935074915234,-1.2884289657726502,-1.2925865658939124
7 - rf - keep - bull,-1.7577254075272402,-1.4082578816043916,-1.5193988508758636,-1.241588259824788
7 - rf - keep - keep,-1.489976686748523,-1.0012477643127755,-1.3523886433193515,-1.3827847733819838
7 - rf - keep - strong bear,-1.6989296268050385,-1.393242922909565,-1.1387805625058878,-1.3697796067237733
7 - rf - keep - strong bull,-1.6050338446838772,-1.6867282209032277,-0.9578918436199142,-1.2926868626462977
7 - rf - strong bear - bear,-1.9548969587645466,-1.8182791941708847,-0.5797285783288313,-1.549803418032134
7 - rf - strong bear - bull,-1.928307239399512,-1.795326348206747,-0.847709772955093,-1.5325864588501914
7 - rf - strong bear - keep,-1.9681450261681377,-1.7866844604244725,-0.7818220144581651,-1.534406007827181
7 - rf - strong bear - strong bear,-1.9112168824938411,-1.8679025660182735,-0.15511241206392673,-1.5741518986137317
7 - rf - strong bear - strong bull,-1.9109224625201058,-1.9525919336999156,0.24340651973065217,-1.5977828727421286
7 - rf - strong bull - bear,-1.8613261625204924,-2.02294913508476,0.6329871530899114,-1.6111926342885496
7 - rf - strong bull - bull,-1.8141221743345601,-1.972009431735061,0.108134518918942,-1.6126512197872704
7 - rf - strong bull - keep,-1.8191156141372682,-1.9949808357575458,0.34212963262488666,-1.6149903434345152
7 - rf - strong bull - strong bear,-1.7697586950199788,-2.026582393769887,1.90298034958371,-1.6941004339462802
7 - rf - strong bull - strong bull,-1.773830019992186,-2.0716538147921026,2.935292038330267,-1.705235019888169
14 - rf - bear - bear,-2.055407325739363,-1.7045536397367773,-0.3931843069055475,-1.4590201723575147
14 - rf - bear - bull,-2.0133654992677057,-1.7647158991818035,-0.7086982029533354,-1.4460767824954754
14 - rf - bear - keep,-2.0252158334953574,-1.697176999654207,-0.6194532233870075,-1.4169241623030162
14 - rf - bear - strong bear,-2.0021707725358624,-1.815477670187913,0.18392176387709072,-1.5497120770094455
14 - rf - bear - strong bull,-1.9964895862796546,-1.935698676472733,-0.2432948201425743,-1.5533818054877364
14 - rf - bull - bear,-1.8440668399121947,-1.7763038472192054,-1.1495989236812267,-1.490058364523072
14 - rf - bull - bull,-1.8162403789795203,-1.7829347564815299,-1.4769179414250684,-1.4544314450527542
14 - rf - bull - keep,-1.8093636877860493,-1.738495547270039,-1.471268642593933,-1.4381089244513339
14 - rf - bull - strong bear,-1.8190679879210465,-1.8288225266459914,-1.0721036058851627,-1.5613895335360652
14 - rf - bull - strong bull,-1.8167757586934123,-1.8369371940640997,-1.03123606064971,-1.5297342537341787
14 - rf - keep - bear,-1.8668871937022646,-1.3504457158202392,-0.9944393582061781,-0.9852704376198367
14 - rf - keep - bull,-1.6986425799012623,-1.2771302330384344,-1.5455809918877708,-1.008057291837004
14 - rf - keep - keep,-1.5952981968939735,-1.3418185528791744,-1.8137522366141778,-1.0196981694884881
14 - rf - keep - strong bear,-1.552048944999874,-1.3221881107797142,-0.8097629369654258,-1.341543943012657
14 - rf - keep - strong bull,-1.5949874809789837,-1.4870576619802383,-0.07709614870829185,-1.3887349297578613
14 - rf - strong bear - bear,-1.9618233193951944,-1.8141539122147752,-0.6619880550479428,-1.5442360822267964
14 - rf - strong bear - bull,-1.9195174465440314,-1.793449285375163,-0.9273759675394337,-1.5205842190513437
14 - rf - strong bear - keep,-1.9219315149376412,-1.745548676527825,-0.8952873621655124,-1.5115966008799628
14 - rf - strong bear - strong bear,-1.9234503474683189,-1.809898506146634,-0.6582043646316198,-1.558566232722288
14 - rf - strong bear - strong bull,-1.9158734668383512,-1.9534941435744786,-0.04823201288170433,-1.590583817603021
14 - rf - strong bull - bear,-1.8558036372737128,-2.0576043524859218,1.4172371008783247,-1.6660198700414757
14 - rf - strong bull - bull,-1.838434712545297,-1.9968224970086998,0.19500116918654425,-1.5977663936355788
14 - rf - strong bull - keep,-1.8378156161014858,-2.0053463743121376,0.5056840350173575,-1.62278348759082
14 - rf - strong bull - strong bear,-1.78778496778651,-2.0288811680886747,1.5228955256258554,-1.7034912585630033
14 - rf - strong bull - strong bull,-1.8290641186943013,-2.0943568696345873,2.860785812659115,-1.7144223483918548
21 - rf - bear - bear,-2.0432424346657525,-1.8134267776234332,-0.026079114774269534,-1.5048777424998605
21 - rf - bear - bull,-1.9928183618954276,-1.8827025395862775,-0.6537742582113591,-1.4872301543412263
21 - rf - bear - keep,-2.01581996480006,-1.8268970134388216,-0.6712020133938662,-1.4274454154808378
